サイト名,掲載日,タイトル,URL
ITMedia NEWS,2025/02/17,“AI時代のヒカキン”は誰か？　生成AIで拡張する個人の力,https://www.itmedia.co.jp/news/articles/2502/17/news116.html
ITMedia NEWS,2025/02/17,Meta、5大陸を結ぶ海底ケーブルプロジェクト「Waterworth」を発表　AIサービス展開を支援,https://www.itmedia.co.jp/news/articles/2502/17/news096.html
PC Watch,2025/02/17,Perplexity、AIがWebの情報から調査/分析/レポートする「Deep Research」,https://pc.watch.impress.co.jp/docs/news/1663407.html
窓の杜,2025/02/17,Microsoft、「GitHub Copilot for Xcode」コード補完の一般提供を開始／Macアプリの開発環境「Xcode」にAIコード補完をシームレスに統合,https://forest.watch.impress.co.jp/docs/news/1663334.html
TechTarget Japan,2025/02/17,PR： AIがWebサイト改善と広告運用を最適化　マーケティングの課題をまとめて解決,https://techtarget.itmedia.co.jp/tt/news/2502/05/news04.html
TechTarget Japan,2025/02/17,DeepSeekショックが影響？　“OpenAI買収”をぶち上げたイーロン・マスク氏の企み,https://techtarget.itmedia.co.jp/tt/news/2502/17/news05.html
ASCII.jp,2025/02/17,SFAへの入力に特化した電話＆MTG 議事録AI pickupon、SFA「Mazrica」とのオフラインMTG議事録 β 連携リリース！,https://ascii.jp/elem/000/004/251/4251963/?rss
ASCII.jp,2025/02/17,【kintone × 商談AI】上場IT企業が取組む商談DXの実践ガイドを公開,https://ascii.jp/elem/000/004/251/4251965/?rss
ASCII.jp,2025/02/17,クレッシェンドラボ、2025年の AI SaaS戦略を発表: 日本におけるクロスチャネルマーケティングのイノベーションを牽引,https://ascii.jp/elem/000/004/251/4251942/?rss
ASCII.jp,2025/02/17,AI日本酒コンシェルジュ「凛」を公開【Miosync × 希JAPAN】,https://ascii.jp/elem/000/004/251/4251943/?rss
ASCII.jp,2025/02/17,Infinidat、生成AI向け RAGワークフローの最適化に関するWebinarを開催,https://ascii.jp/elem/000/004/251/4251954/?rss
ASCII.jp,2025/02/17,【2/28展示】スポーツ映像の自動撮影システムを中心に、AI解析のデモや試合映像の自動編集機能を展示紹介,https://ascii.jp/elem/000/004/251/4251694/?rss
